A,Element,Z,Mass,Source
42,V,23,41.99182,estimated
42,Cr,24,42.007225,estimated
43,Al,13,43.050478,estimated
43,Si,14,43.0248,estimated
43,P,15,43.005024,measured
43,S,16,42.986907635,measured
43,Cl,17,42.9740637,measured
43,Ar,18,42.965636055,measured
43,K,19,42.960734703,measured
43,Ca,20,42.95876643,measured
43,Sc,21,42.96115047199999,measured
43,Ti,22,42.968522521000004,measured
43,V,23,42.980766,measured
43,Cr,24,42.997885,estimated
44,Si,14,44.03061,estimated
44,P,15,44.011219,estimated
44,S,16,43.990118848,measured
44,Cl,17,43.978116312,measured
44,Ar,18,43.96492381600001,measured
44,K,19,43.961586986,measured
44,Ca,20,43.955481543000005,measured
44,Sc,21,43.959402867,measured
44,Ti,22,43.95968995100001,measured
44,V,23,43.97411,measured
44,Cr,24,43.985657,estimated
44,Mn,25,44.007547,estimated
45,Si,14,45.040247,estimated
45,P,15,45.016747,estimated
45,S,16,44.995717,measured
45,Cl,17,44.980394353,measured
45,Ar,18,44.968039733000005,measured
45,K,19,44.960691493,measured
45,Ca,20,44.95618632600001,measured
45,Sc,21,44.955907503,measured
45,Ti,22,44.958121211000005,measured
45,V,23,44.96576895100001,measured
45,Cr,24,44.97905,measured
45,Mn,25,44.994364,estimated
45,Fe,26,45.014774,estimated
46,P,15,46.024659,estimated
46,S,16,46.000365,estimated
46,Cl,17,45.985121323,measured
46,Ar,18,45.968037446000004,measured
46,K,19,45.961981586,measured
46,Ca,20,45.953687988000006,measured
46,Sc,21,45.955167485,measured
46,Ti,22,45.95262685600001,measured
46,V,23,45.960197971,measured
46,Cr,24,45.96836097,measured
46,Mn,25,45.986506,estimated
46,Fe,26,46.000977,estimated
47,P,15,47.031895,estimated
47,S,16,47.007912,estimated
47,Cl,17,46.989501,estimated
47,Ar,18,46.97276811399999,measured
47,K,19,46.96166161399999,measured
47,Ca,20,46.954541393999996,measured
47,Sc,21,46.952402703999994,measured
47,Ti,22,46.951757752,measured
47,V,23,46.954904038,measured
47,Cr,24,46.962895544,measured
47,Mn,25,46.975774,measured
47,Fe,26,46.992625,estimated
47,Co,27,47.011133,estimated
48,S,16,48.0137,estimated
48,Cl,17,47.995405,estimated
48,Ar,18,47.97608,measured
48,K,19,47.965341186,measured
48,Ca,20,47.952522904,measured
48,Sc,21,47.952223157,measured
48,Ti,22,47.947940931999995,measured
48,V,23,47.952251229,measured
48,Cr,24,47.954028666999996,measured
48,Mn,25,47.968549085,measured
48,Fe,26,47.980676,estimated
48,Co,27,48.00161,estimated
48,Ni,28,48.018028,estimated
49,S,16,49.022644,estimated
49,Cl,17,49.001009,estimated
49,Ar,18,48.981546,estimated
49,K,19,48.968210755,measured
49,Ca,20,48.955662875,measured
49,Sc,21,48.950014423,measured
49,Ti,22,48.947864626999994,measured
49,V,23,48.948510746000004,measured
49,Cr,24,48.951332955,measured
49,Mn,25,48.959612585,measured
49,Fe,26,48.973429,measured
49,Co,27,48.989393,estimated
49,Ni,28,49.008803,estimated
50,Cl,17,50.008309,estimated
50,Ar,18,49.98569,estimated
50,K,19,49.972380017,measured
50,Ca,20,49.957499217,measured
50,Sc,21,49.952176415,measured
50,Ti,22,49.94478583899999,measured
50,V,23,49.947155845,measured
50,Cr,24,49.946041443000006,measured
50,Mn,25,49.954237391,measured
50,Fe,26,49.962988,measured
50,Co,27,49.981073,estimated
50,Ni,28,49.995577,estimated
51,Cl,17,51.015341,estimated
51,Ar,18,50.992818,estimated
51,K,19,50.975827867,measured
51,Ca,20,50.960995665,measured
51,Sc,21,50.953592095,measured
51,Ti,22,50.9466096,measured
51,V,23,50.943956867,measured
51,Cr,24,50.944764651999996,measured
51,Mn,25,50.948208064999996,measured
51,Fe,26,50.956840779,measured
51,Co,27,50.970647,measured
51,Ni,28,50.987225,estimated
52,Ar,18,51.998626,estimated
52,K,19,51.981602,measured
52,Ca,20,51.963213648,measured
52,Sc,21,51.956582351,measured
52,Ti,22,51.94689196,measured
52,V,23,51.944772838999995,measured
52,Cr,24,51.940504992,measured
52,Mn,25,51.945563488000005,measured
52,Fe,26,51.948115217,measured
52,Co,27,51.963112,measured
52,Ni,28,51.976028,estimated
52,Cu,29,51.997552,estimated
53,Ar,18,53.00729,estimated
53,K,19,52.9868,measured
53,Ca,20,52.968451,measured
53,Sc,21,52.958231821000005,measured
53,Ti,22,52.949724784999994,measured
53,V,23,52.944335593000005,measured
53,Cr,24,52.940646961000006,measured
53,Mn,25,52.941287742,measured
53,Fe,26,52.945305573999995,measured
53,Co,27,52.954203217,measured
53,Ni,28,52.96819,measured
53,Cu,29,52.985754,estimated
54,K,19,53.99463,estimated
54,Ca,20,53.972989,measured
54,Sc,21,53.963616619999996,measured
54,Ti,22,53.951022786,measured
54,V,23,53.94643747199999,measured
54,Cr,24,53.938878011999996,measured
54,Mn,25,53.940356429,measured
54,Fe,26,53.939608306000004,measured
54,Co,27,53.948459192,measured
54,Ni,28,53.957833,measured
54,Cu,29,53.977015,estimated
54,Zn,30,53.993267,estimated
55,K,19,55.00076,estimated
55,Ca,20,54.9803,estimated
55,Sc,21,54.967622601,measured
55,Ti,22,54.955267465000006,measured
55,V,23,54.94724111399999,measured
55,Cr,24,54.940837288999994,measured
55,Mn,25,54.938043172,measured
55,Fe,26,54.938291283,measured
55,Co,27,54.941996531,measured
55,Ni,28,54.951329961000006,measured
55,Cu,29,54.966038,measured
55,Zn,30,54.984358,estimated
56,K,19,56.00851,estimated
56,Ca,20,55.98508,estimated
56,Sc,21,55.97332,measured
56,Ti,22,55.957788189999995,measured
56,V,23,55.950450694,measured
56,Cr,24,55.940649107,measured
56,Mn,25,55.938902946999995,measured
56,Fe,26,55.934935617,measured
56,Co,27,55.93983815,measured
56,Ni,28,55.942127872,measured
56,Cu,29,55.958515,measured
56,Zn,30,55.972743,estimated
56,Ga,31,55.996361,estimated
57,Ca,20,56.99262,estimated
57,Sc,21,56.97746,measured
57,Ti,22,56.963590068,measured
57,V,23,56.952320197,measured
57,Cr,24,56.943612408999996,measured
57,Mn,25,56.938285968,measured
57,Fe,26,56.935392134,measured
57,Co,27,56.936289913,measured
57,Ni,28,56.939791525,measured
57,Cu,29,56.949211819,measured
57,Zn,30,56.965056,estimated
57,Ga,31,56.983886,estimated
58,Ca,20,57.99794,estimated
58,Sc,21,57.98403,estimated
58,Ti,22,57.966602,estimated
58,V,23,57.956626932,measured
58,Cr,24,57.944184502,measured
58,Mn,25,57.940066646000005,measured
58,Fe,26,57.933273738000004,measured
58,Co,27,57.935751429,measured
58,Ni,28,57.93534178,measured
58,Cu,29,57.944532413000005,measured
58,Zn,30,57.954590428,measured
58,Ga,31,57.974729,estimated
58,Ge,32,57.992399,estimated
59,Sc,21,58.98894,estimated
59,Ti,22,58.972614,estimated
59,V,23,58.95938565899999,measured
59,Cr,24,58.948377810000004,measured
59,Mn,25,58.940391113000004,measured
59,Fe,26,58.934873649,measured
59,Co,27,58.933193656,measured
59,Ni,28,58.934345571,measured
59,Cu,29,58.939496844,measured
59,Zn,30,58.949312017,measured
59,Ga,31,58.963757,estimated
59,Ge,32,58.982963,estimated
60,Sc,21,59.99565,estimated
60,Ti,22,59.976028,estimated
60,V,23,59.96431329,measured
60,Cr,24,59.949898146,measured
60,Mn,25,59.94313657600001,measured
60,Fe,26,59.93407041100001,measured
60,Co,27,59.933815667,measured
60,Ni,28,59.93078525600001,measured
60,Cu,29,59.937363916,measured
60,Zn,30,59.941841450000005,measured
60,Ga,31,59.957498,estimated
60,Ge,32,59.970918,estimated
60,As,33,59.994128,estimated
61,Sc,21,61.001,estimated
61,Ti,22,60.982448,estimated
61,V,23,60.96725,measured
61,Cr,24,60.954400963,measured
61,Mn,25,60.944452544,measured
61,Fe,26,60.936746244,measured
61,Co,27,60.932476145,measured
61,Ni,28,60.931054945,measured
61,Cu,29,60.93345737100001,measured
61,Zn,30,60.93950696,measured
61,Ga,31,60.949398859,measured
61,Ge,32,60.964187,estimated
61,As,33,60.981857,estimated
62,Ti,22,61.986581,estimated
62,V,23,61.97265,estimated
62,Cr,24,61.956097451000005,measured
62,Mn,25,61.947907386000004,measured
62,Fe,26,61.936791811999996,measured
62,Co,27,61.934058317,measured
62,Ni,28,61.92834487100001,measured
62,Cu,29,61.932594921,measured
62,Zn,30,61.934333476999996,measured
62,Ga,31,61.944189757,measured
62,Ge,32,61.95519,estimated
62,As,33,61.973891,estimated
63,Ti,22,62.993827,estimated
63,V,23,62.9765,estimated
63,Cr,24,62.96134438399999,measured
63,Mn,25,62.949664674999994,measured
63,Fe,26,62.9402727,measured
63,Co,27,62.933599744,measured
63,Ni,28,62.929669139,measured
63,Cu,29,62.929597236,measured
63,Zn,30,62.933211166999996,measured
63,Ga,31,62.939294195,measured
63,Ge,32,62.949628,measured
63,As,33,62.964036,estimated
64,Ti,22,63.9989,estimated
64,V,23,63.98248,estimated
