A,Element,Z,HalfLife
155,Gd,64,stbl
155,Tb,65,5.32 d
155,Dy,66,9.9 h
155,Ho,67,48 m
155,Er,68,5.3 m
155,Tm,69,21.6 s
155,Yb,70,1.793 s
155,Lu,71,68.6 ms
155,Hf,72,840 ms
155,Ta,73,3.2 ms
156,La,57,84 ms
156,Ce,58,233 ms
156,Pr,59,444 ms
156,Nd,60,5.06 s
156,Pm,61,27.2 s
156,Sm,62,9.4 h
156,Eu,63,15.19 d
156,Gd,64,stbl
156,Tb,65,5.35 d
156,Dy,66,stbl
156,Ho,67,56 m
156,Er,68,19.5 m
156,Tm,69,83.8 s
156,Yb,70,26.1 s
156,Lu,71,494 ms
156,Hf,72,23 ms
156,Ta,73,106 ms
157,Ce,58,175 ms
157,Pr,59,307 ms
157,Nd,60,1.15 s
157,Pm,61,10.56 s
157,Sm,62,8.03 m
157,Eu,63,15.18 h
157,Gd,64,stbl
157,Tb,65,71 y
157,Dy,66,8.14 h
157,Ho,67,12.6 m
157,Er,68,18.65 m
157,Tm,69,3.63 m
157,Yb,70,38.6 s
157,Lu,71,6.8 s
157,Hf,72,115 ms
157,Ta,73,10.1 ms
157,W,74,275 ms
158,Ce,58,99 ms
158,Pr,59,181 ms
158,Nd,60,810 ms
158,Pm,61,4.8 s
158,Sm,62,5.30 m
158,Eu,63,45.9 m
158,Gd,64,stbl
158,Tb,65,180 y
158,Dy,66,stbl
158,Ho,67,11.3 m
158,Er,68,2.29 h
158,Tm,69,3.98 m
158,Yb,70,1.49 m
158,Lu,71,10.6 s
158,Hf,72,0.99 s
158,Ta,73,49 ms
158,W,74,1.25 ms
159,Pr,59,134 ms
159,Nd,60,500 ms
159,Pm,61,1.49 s
159,Sm,62,11.37 s
159,Eu,63,18.1 m
159,Gd,64,18.479 h
159,Tb,65,stbl
159,Dy,66,144.4 d
159,Ho,67,33.05 m
159,Er,68,36 m
159,Tm,69,9.13 m
159,Yb,70,1.67 m
159,Lu,71,12.1 s
159,Hf,72,5.20 s
159,Ta,73,1.04 s
159,W,74,8.2 ms
159,Re,75,40 us
160,Pr,59,170 ms
160,Nd,60,439 ms
160,Pm,61,725 ms
160,Sm,62,9.6 s
160,Eu,63,42.4 s
160,Gd,64,stbl
160,Tb,65,72.3 d
160,Dy,66,stbl
160,Ho,67,25.6 m
160,Er,68,28.58 h
160,Tm,69,9.4 m
160,Yb,70,4.8 m
160,Lu,71,36.1 s
160,Hf,72,13.6 s
160,Ta,73,1.70 s
160,W,74,90 ms
160,Re,75,611 us
161,Nd,60,215 ms
161,Pm,61,1.05 s
161,Sm,62,4.8 s
161,Eu,63,26.2 s
161,Gd,64,3.646 m
161,Tb,65,6.89 d
161,Dy,66,stbl
161,Ho,67,2.48 h
161,Er,68,3.21 h
161,Tm,69,30.2 m
161,Yb,70,4.2 m
161,Lu,71,77 s
161,Hf,72,18.4 s
161,Ta,73,3 s
161,W,74,409 ms
161,Re,75,440 us
161,Os,76,640 us
162,Nd,60,310 ms
162,Pm,61,630 ms
162,Sm,62,2.7 s
162,Eu,63,~11 s
162,Gd,64,8.4 m
162,Tb,65,7.60 m
162,Dy,66,stbl
162,Ho,67,15.0 m
162,Er,68,stbl
162,Tm,69,21.70 m
162,Yb,70,18.87 m
162,Lu,71,1.37 m
162,Hf,72,39.4 s
162,Ta,73,3.57 s
162,W,74,1.19 s
162,Re,75,107 ms
162,Os,76,2.1 ms
163,Pm,61,430 ms
163,Sm,62,1.3 s
163,Eu,63,7.7 s
163,Gd,64,68 s
163,Tb,65,19.5 m
163,Dy,66,stbl
163,Ho,67,4.570 ky
163,Er,68,75.0 m
163,Tm,69,1.810 h
163,Yb,70,11.05 m
163,Lu,71,3.97 m
163,Hf,72,40.0 s
163,Ta,73,10.6 s
163,W,74,2.63 s
163,Re,75,390 ms
163,Os,76,5.5 ms
164,Pm,61,200 ms
164,Sm,62,1.43 s
164,Eu,63,4.15 s
164,Gd,64,45 s
164,Tb,65,3.0 m
164,Dy,66,stbl
164,Ho,67,29 m
164,Er,68,stbl
164,Tm,69,2.0 m
164,Yb,70,75.8 m
164,Lu,71,3.14 m
164,Hf,72,111 s
164,Ta,73,14.2 s
164,W,74,6.3 s
164,Re,75,719 ms
164,Os,76,21 ms
164,Ir,77,1 ms
165,Sm,62,980 ms
165,Eu,63,2.53 s
165,Gd,64,11.0 s
165,Tb,65,2.11 m
165,Dy,66,2.334 h
165,Ho,67,stbl
165,Er,68,10.36 h
165,Tm,69,30.06 h
165,Yb,70,9.9 m
165,Lu,71,10.74 m
165,Hf,72,76 s
165,Ta,73,31.0 s
165,W,74,5.1 s
165,Re,75,2.62 s
165,Os,76,71 ms
165,Ir,77,50 ns
166,Sm,62,800 ms
166,Eu,63,1.24 s
166,Gd,64,5.1 s
166,Tb,65,27.1 s
166,Dy,66,81.6 h
166,Ho,67,26.824 h
166,Er,68,stbl
166,Tm,69,7.70 h
166,Yb,70,56.7 h
166,Lu,71,2.65 m
166,Hf,72,6.77 m
166,Ta,73,34.4 s
166,W,74,19.2 s
166,Re,75,2.25 s
166,Os,76,213 ms
166,Ir,77,10.5 ms
166,Pt,78,300 us
167,Eu,63,1.33 s
167,Gd,64,4.2 s
167,Tb,65,18.9 s
167,Dy,66,6.20 m
167,Ho,67,3.1 h
167,Er,68,stbl
167,Tm,69,9.25 d
167,Yb,70,17.5 m
167,Lu,71,51.5 m
167,Hf,72,2.05 m
167,Ta,73,1.33 m
167,W,74,19.9 s
167,Re,75,3.4 s
167,Os,76,839 ms
167,Ir,77,29.3 ms
167,Pt,78,800 us
168,Eu,63,200 ms
168,Gd,64,3.03 s
168,Tb,65,9.4 s
168,Dy,66,8.7 m
168,Ho,67,2.99 m
168,Er,68,stbl
168,Tm,69,93.1 d
168,Yb,70,stbl
168,Lu,71,5.5 m
168,Hf,72,25.95 m
168,Ta,73,2.0 m
168,W,74,50.9 s
168,Re,75,4.4 s
168,Os,76,2.1 s
168,Ir,77,230 ms
168,Pt,78,2.02 ms
169,Gd,64,750 ms
169,Tb,65,5.13 s
169,Dy,66,39 s
169,Ho,67,4.72 m
169,Er,68,9.392 d
169,Tm,69,stbl
169,Yb,70,32.018 d
169,Lu,71,34.06 h
169,Hf,72,3.24 m
169,Ta,73,4.9 m
169,W,74,74 s
169,Re,75,8.1 s
169,Os,76,3.46 s
169,Ir,77,353 ms
169,Pt,78,6.99 ms
169,Au,79,150 us
170,Gd,64,420 ms
170,Tb,65,960 ms
170,Dy,66,54.9 s
170,Ho,67,2.76 m
170,Er,68,stbl
170,Tm,69,128.6 d
170,Yb,70,stbl
170,Lu,71,2.012 d
170,Hf,72,16.01 h
170,Ta,73,6.76 m
170,W,74,2.42 m
170,Re,75,9.2 s
170,Os,76,7.37 s
170,Ir,77,910 ms
170,Pt,78,13.93 ms
170,Au,79,290 us
171,Tb,65,1.23 s
171,Dy,66,4.07 s
171,Ho,67,53 s
171,Er,68,7.516 h
171,Tm,69,1.92 y
171,Yb,70,stbl
171,Lu,71,8.24 d
171,Hf,72,12.1 h
171,Ta,73,23.3 m
171,W,74,2.38 m
171,Re,75,15.2 s
171,Os,76,8.3 s
171,Ir,77,3.1 s
171,Pt,78,45.5 ms
171,Au,79,22.3 us
171,Hg,80,70 us
172,Tb,65,760 ms
172,Dy,66,3.4 s
172,Ho,67,25 s
172,Er,68,49.3 h
172,Tm,69,63.6 h
172,Yb,70,stbl
172,Lu,71,6.70 d
172,Hf,72,1.87 y
172,Ta,73,36.8 m
172,W,74,6.6 m
172,Re,75,15 s
172,Os,76,19.2 s
172,Ir,77,4.4 s
172,Pt,78,97.6 ms
172,Au,79,28 ms
172,Hg,80,231 us
173,Dy,66,1.43 s
173,Ho,67,6.90 s
173,Er,68,1.434 m
173,Tm,69,8.24 h
173,Yb,70,stbl
173,Lu,71,1.37 y
173,Hf,72,23.6 h
173,Ta,73,3.14 h
173,W,74,7.6 m
173,Re,75,2.0 m
173,Os,76,22.4 s
173,Ir,77,9.0 s
173,Pt,78,382 ms
173,Au,79,25.5 ms
173,Hg,80,800 us
174,Dy,66,1 s
174,Ho,67,3.2 s
174,Er,68,3.2 m
174,Tm,69,5.4 m
174,Yb,70,stbl
174,Lu,71,3.31 y
174,Hf,72,2.0 Py
174,Ta,73,1.14 h
174,W,74,33.2 m
174,Re,75,2.40 m
174,Os,76,44 s
174,Ir,77,7.9 s
174,Pt,78,889 ms
174,Au,79,139 ms
174,Hg,80,2.0 ms
175,Ho,67,1.88 s
175,Er,68,1.2 m
175,Tm,69,15.2 m
175,Yb,70,4.185 d
175,Lu,71,stbl
175,Hf,72,70.65 d
175,Ta,73,10.5 h
175,W,74,35.2 m
175,Re,75,5.89 m
175,Os,76,1.4 m
175,Ir,77,9 s
175,Pt,78,2.43 s
175,Au,79,202 ms
175,Hg,80,10.6 ms
176,Ho,67,2 s
176,Er,68,20 s
176,Tm,69,1.85 m
176,Yb,70,stbl
176,Lu,71,36.84 Gy
176,Hf,72,stbl
176,Ta,73,8.09 h
176,W,74,2.5 h
176,Re,75,5.3 m
176,Os,76,3.6 m
176,Ir,77,8.7 s
176,Pt,78,6.33 s
176,Au,79,1.05 s
176,Hg,80,20.3 ms
176,Tl,81,6.2 ms
177,Er,68,3 s
177,Tm,69,90 s
177,Yb,70,1.911 h
177,Lu,71,6.6457 d
177,Hf,72,stbl
177,Ta,73,56.56 h
177,W,74,132 m
177,Re,75,14 m
177,Os,76,3.0 m
177,Ir,77,30 s
177,Pt,78,10.6 s
177,Au,79,1.46 s
177,Hg,80,127.3 ms
177,Tl,81,18 ms
178,Er,68,1 s
178,Tm,69,30 s
178,Yb,70,74 m
178,Lu,71,28.4 m
178,Hf,72,stbl
178,Ta,73,2.36 h
178,W,74,21.6 d
178,Re,75,13.2 m
178,Os,76,5.0 m
178,Ir,77,12 s
178,Pt,78,20.7 s
178,Au,79,2.6 s
178,Hg,80,266.5 ms
178,Tl,81,255 ms
178,Pb,82,230 us
179,Tm,69,20 s
179,Yb,70,8.0 m
179,Lu,71,4.59 h
179,Hf,72,stbl
179,Ta,73,1.82 y
179,W,74,37.05 m
179,Re,75,19.5 m
179,Os,76,6.5 m
179,Ir,77,79 s
179,Pt,78,21.2 s
179,Au,79,7.1 s
179,Hg,80,1.05 s
179,Tl,81,265 ms
179,Pb,82,3.9 ms
180,Tm,69,5 s
180,Yb,70,2.4 m
180,Lu,71,5.7 m
180,Hf,72,stbl
180,Ta,73,8.154 h
180,W,74,1.8 Ey
180,Re,75,2.46 m
180,Os,76,21.5 m
180,Ir,77,1.5 m
180,Pt,78,56 s
180,Au,79,8.4 s
180,Hg,80,2.59 s
180,Tl,81,1.09 s
180,Pb,82,4.1 ms
181,Tm,69,5 s
181,Yb,70,1 m
181,Lu,71,3.5 m
181,Hf,72,42.39 d
181,Ta,73,stbl
181,W,74,121.2 d
181,Re,75,19.9 h
181,Os,76,105 m
181,Ir,77,4.90 m
181,Pt,78,52.0 s
181,Au,79,13.7 s
181,Hg,80,3.6 s
181,Tl,81,3.2 s
181,Pb,82,39.0 ms
182,Yb,70,10 s
182,Lu,71,2.0 m
182,Hf,72,8.90 My
182,Ta,73,114.74 d
182,W,74,stbl
182,Re,75,64.2 h
182,Os,76,21.84 h
182,Ir,77,15.0 m
182,Pt,78,2.67 m
182,Au,79,15.5 s
182,Hg,80,10.83 s
182,Tl,81,1.9 s
182,Pb,82,55 ms
183,Yb,70,3 s
183,Lu,71,58 s
183,Hf,72,1.018 h
183,Ta,73,5.1 d
183,W,74,stbl
183,Re,75,70.0 d
183,Os,76,13.0 h
183,Ir,77,58 m
183,Pt,78,6.5 m
183,Au,79,42.8 s
183,Hg,80,9.4 s
183,Tl,81,6.9 s
183,Pb,82,535 ms
184,Yb,70,1 s
184,Lu,71,20 s
184,Hf,72,4.12 h
184,Ta,73,8.7 h
184,W,74,stbl
184,Re,75,35.4 d
184,Os,76,stbl
184,Ir,77,3.09 h
184,Pt,78,17.3 m
184,Au,79,20.6 s
184,Hg,80,30.87 s
184,Tl,81,9.5 s
184,Pb,82,490 ms
184,Bi,83,6.6 ms
185,Yb,70,300 ms
185,Lu,71,6 s
185,Hf,72,3.5 m
185,Ta,73,49.4 m
185,W,74,75.1 d
185,Re,75,stbl
185,Os,76,92.95 d
185,Ir,77,14.4 h
185,Pt,78,70.9 m
185,Au,79,4.25 m
185,Hg,80,49.1 s
185,Tl,81,19.5 s
185,Pb,82,6.3 s
185,Bi,83,2 ms
186,Lu,71,2 s
186,Hf,72,2.6 m
186,Ta,73,10.5 m
186,W,74,stbl
186,Re,75,3.7183 d
186,Os,76,2.0 Py
186,Ir,77,16.64 h
186,Pt,78,2.08 h
186,Au,79,10.7 m
186,Hg,80,1.38 m
186,Tl,81,40 s
186,Pb,82,4.82 s
186,Bi,83,14.8 ms
186,Po,84,34 us
187,Lu,71,1 s
187,Hf,72,30 s
187,Ta,73,2.3 m
187,W,74,24.000 h
187,Re,75,43.3 Gy
187,Os,76,stbl
187,Ir,77,10.5 h
187,Pt,78,2.35 h
187,Au,79,8.3 m
187,Hg,80,1.9 m
187,Tl,81,~51 s
187,Pb,82,15.2 s
187,Bi,83,37 ms
187,Po,84,1.40 ms
188,Lu,71,300 ms
188,Hf,72,20 s
188,Ta,73,19.6 s
188,W,74,69.78 d
188,Re,75,17.0040 h
188,Os,76,stbl
188,Ir,77,41.5 h
188,Pt,78,10.2 d
188,Au,79,8.84 m
188,Hg,80,3.25 m
188,Tl,81,71 s
188,Pb,82,25.1 s
188,Bi,83,60 ms
188,Po,84,275 us
189,Hf,72,2 s
189,Ta,73,3 s
189,W,74,10.7 m
189,Re,75,24.3 h
189,Os,76,stbl
189,Ir,77,13.2 d
189,Pt,78,10.87 h
189,Au,79,28.7 m
189,Hg,80,7.6 m
189,Tl,81,2.3 m
189,Pb,82,39 s
189,Bi,83,658 ms
189,Po,84,3.8 ms
190,Hf,72,2 s
190,Ta,73,5.3 s
190,W,74,30.0 m
190,Re,75,3.1 m
190,Os,76,stbl
190,Ir,77,11.78 d
190,Pt,78,650 Gy
190,Au,79,42.8 m
190,Hg,80,20.0 m
190,Tl,81,2.6 m
190,Pb,82,71 s
190,Bi,83,6.3 s
190,Po,84,2.46 ms
191,Ta,73,3 s
191,W,74,45 s
191,Re,75,9.8 m
191,Os,76,14.99 d
191,Ir,77,stbl
191,Pt,78,2.83 d
191,Au,79,3.18 h
191,Hg,80,49 m
191,Tl,81,20 m
191,Pb,82,1.33 m
191,Bi,83,11.7 s
191,Po,84,22 ms
191,At,85,2.1 ms
192,Ta,73,2.2 s
192,W,74,1 m
192,Re,75,16.0 s
192,Os,76,stbl
192,Ir,77,73.830 d
192,Pt,78,stbl
192,Au,79,4.94 h
192,Hg,80,4.85 h
192,Tl,81,9.6 m
192,Pb,82,3.5 m
192,Bi,83,34.6 s
192,Po,84,32.2 ms
192,At,85,11.5 ms
193,Ta,73,500 ms
193,W,74,3 s
193,Re,75,20 s
193,Os,76,29.830 h
193,Ir,77,stbl
193,Pt,78,50 y
193,Au,79,17.65 h
193,Hg,80,3.80 h
193,Tl,81,21.6 m
193,Pb,82,5 m
193,Bi,83,63.6 s
193,Po,84,388 ms
193,At,85,29 ms
193,Rn,86,1.15 ms
194,Ta,73,300 ms
194,W,74,5 s
194,Re,75,5 s
194,Os,76,6.0 y
194,Ir,77,19.28 h
194,Pt,78,stbl
194,Au,79,38.02 h
194,Hg,80,447 y
194,Tl,81,33.0 m
194,Pb,82,10.7 m
194,Bi,83,95 s
194,Po,84,392 ms
194,At,85,286 ms
194,Rn,86,780 us
195,W,74,3 s
195,Re,75,6 s
195,Os,76,6.5 m
195,Ir,77,2.29 h
195,Pt,78,stbl
195,Au,79,186.01 d
195,Hg,80,10.69 h
195,Tl,81,1.16 h
195,Pb,82,~15 m
195,Bi,83,183 s
195,Po,84,4.64 s
195,At,85,290 ms
195,Rn,86,7 ms
196,W,74,3 s
196,Re,75,2.4 s
196,Os,76,34.9 m
196,Ir,77,52 s
196,Pt,78,stbl
196,Au,79,6.1669 d
196,Hg,80,stbl
196,Tl,81,1.84 h
196,Pb,82,37 m
196,Bi,83,5.1 m
196,Po,84,5.56 s
196,At,85,388 ms
196,Rn,86,4.7 ms
197,W,74,1 s
197,Re,75,300 ms
197,Os,76,2.8 m
197,Ir,77,5.8 m
197,Pt,78,19.8915 h
197,Au,79,stbl
197,Hg,80,64.94 h
197,Tl,81,2.84 h
197,Pb,82,8.1 m
197,Bi,83,9.33 m
197,Po,84,53.6 s
197,At,85,388.2 ms
197,Rn,86,54 ms
197,Fr,87,2.33 ms
198,Re,75,300 ms
198,Os,76,1 m
198,Ir,77,8 s
198,Pt,78,stbl
198,Au,79,2.6941 d
198,Hg,80,stbl
198,Tl,81,5.3 h
198,Pb,82,2.4 h
198,Bi,83,10.3 m
198,Po,84,1.760 m
198,At,85,3.0 s
198,Rn,86,65 ms
198,Fr,87,15 ms
199,Re,75,100 ms
199,Os,76,6 s
199,Ir,77,7 s
199,Pt,78,30.80 m
199,Au,79,3.139 d
199,Hg,80,stbl
199,Tl,81,7.42 h
199,Pb,82,90 m
199,Bi,83,27 m
199,Po,84,5.47 m
199,At,85,7.02 s
199,Rn,86,590 ms
199,Fr,87,6.6 ms
200,Os,76,7 s
200,Ir,77,43 s
200,Pt,78,12.6 h
200,Au,79,48.4 m
200,Hg,80,stbl
200,Tl,81,26.1 h
200,Pb,82,21.5 h
200,Bi,83,36.4 m
200,Po,84,11.51 m
200,At,85,43.2 s
200,Rn,86,1.09 s
200,Fr,87,47.5 ms
201,Os,76,1 s
201,Ir,77,21 s
201,Pt,78,2.5 m
201,Au,79,26.0 m
201,Hg,80,stbl
201,Tl,81,3.0442 d
201,Pb,82,9.33 h
201,Bi,83,103 m
201,Po,84,15.6 m
201,At,85,85.2 s
201,Rn,86,7.0 s
201,Fr,87,62.8 ms
201,Ra,88,20 ms
202,Os,76,200 ms
202,Ir,77,11 s
202,Pt,78,44 h
202,Au,79,28.4 s
202,Hg,80,stbl
202,Tl,81,12.31 d
202,Pb,82,52.5 ky
202,Bi,83,1.72 h
202,Po,84,44.6 m
202,At,85,184 s
202,Rn,86,9.7 s
202,Fr,87,372 ms
202,Ra,88,4.1 ms
203,Os,76,100 ms
203,Ir,77,6 s
203,Pt,78,22 s
203,Au,79,60 s
203,Hg,80,46.613 d
203,Tl,81,stbl
203,Pb,82,51.916 h
203,Bi,83,11.76 h
203,Po,84,36.7 m
203,At,85,7.4 m
203,Rn,86,44 s
203,Fr,87,550 ms
203,Ra,88,36 ms
204,Ir,77,1 s
204,Pt,78,10.3 s
204,Au,79,38.3 s
204,Hg,80,stbl
204,Tl,81,3.783 y
204,Pb,82,stbl
204,Bi,83,11.22 h
204,Po,84,3.519 h
204,At,85,9.12 m
204,Rn,86,1.242 m
204,Fr,87,1.75 s
204,Ra,88,60 ms
205,Ir,77,300 ms
205,Pt,78,5 s
205,Au,79,32.5 s
205,Hg,80,5.14 m
205,Tl,81,stbl
205,Pb,82,17.3 My
205,Bi,83,15.31 d
205,Po,84,1.74 h
205,At,85,33.8 m
205,Rn,86,2.83 m
205,Fr,87,3.82 s
205,Ra,88,220 ms
205,Ac,89,80 ms
206,Pt,78,5 s
206,Au,79,47 s
206,Hg,80,8.32 m
206,Tl,81,4.202 m
206,Pb,82,stbl
206,Bi,83,6.243 d
206,Po,84,8.8 d
206,At,85,30.6 m
206,Rn,86,5.67 m
206,Fr,87,~16 s
206,Ra,88,240 ms
206,Ac,89,25 ms
207,Pt,78,1 s
207,Au,79,10 s
207,Hg,80,2.9 m
207,Tl,81,4.77 m
207,Pb,82,stbl
207,Bi,83,31.20 y
207,Po,84,5.80 h
207,At,85,1.81 h
207,Rn,86,9.25 m
207,Fr,87,14.8 s
207,Ra,88,1.38 s
207,Ac,89,31 ms
208,Pt,78,1 s
208,Au,79,10 s
208,Hg,80,42 m
208,Tl,81,3.053 m
208,Pb,82,stbl
208,Bi,83,368 ky
208,Po,84,2.898 y
208,At,85,1.63 h
208,Rn,86,24.35 m
208,Fr,87,59.1 s
208,Ra,88,1.110 s
208,Ac,89,97 ms
208,Th,90,2.4 ms
209,Au,79,1 s
209,Hg,80,38 s
209,Tl,81,2.162 m
209,Pb,82,3.234 h
209,Bi,83,20.1 Ey
209,Po,84,124 y
209,At,85,5.42 h
209,Rn,86,28.8 m
209,Fr,87,50.5 s
209,Ra,88,4.71 s
209,Ac,89,94 ms
209,Th,90,60 ms
210,Au,79,1 s
210,Hg,80,64 s
210,Tl,81,1.30 m
210,Pb,82,22.20 y
210,Bi,83,5.012 d
210,Po,84,138.376 d
210,At,85,8.1 h
210,Rn,86,2.4 h
210,Fr,87,3.18 m
210,Ra,88,4.0 s
210,Ac,89,350 ms
210,Th,90,16.0 ms
211,Hg,80,26 s
211,Tl,81,80 s
211,Pb,82,36.164 m
211,Bi,83,2.14 m
211,Po,84,516 ms
211,At,85,7.214 h
211,Rn,86,14.6 h
211,Fr,87,3.10 m
211,Ra,88,13.2 s
211,Ac,89,213 ms
211,Th,90,48 ms
211,Pa,91,3 ms
212,Hg,80,1 m
212,Tl,81,31 s
212,Pb,82,10.64 h
212,Bi,83,60.55 m
212,Po,84,294.7 ns
212,At,85,314 ms
212,Rn,86,23.9 m
212,Fr,87,20.0 m
212,Ra,88,13.0 s
212,Ac,89,895 ms
212,Th,90,31.7 ms
212,Pa,91,7.5 ms
213,Hg,80,1 s
213,Tl,81,24 s
213,Pb,82,10.2 m
213,Bi,83,45.61 m
213,Po,84,3.708 us
213,At,85,125 ns
213,Rn,86,19.5 ms
213,Fr,87,34.14 s
213,Ra,88,2.73 m
213,Ac,89,738 ms
213,Th,90,144 ms
213,Pa,91,7 ms
214,Hg,80,1 s
214,Tl,81,11 s
214,Pb,82,27.06 m
214,Bi,83,19.9 m
214,Po,84,163.72 us
214,At,85,558 ns
214,Rn,86,270 ns
214,Fr,87,5.18 ms
214,Ra,88,2.437 s
214,Ac,89,8.2 s
214,Th,90,87 ms
214,Pa,91,17 ms
215,Hg,80,1 s
215,Tl,81,10 s
215,Pb,82,2.34 m
215,Bi,83,7.6 m
215,Po,84,1.781 ms
215,At,85,100 us
215,Rn,86,2.30 us
215,Fr,87,86 ns
215,Ra,88,1.67 ms
215,Ac,89,170 ms
215,Th,90,1.2 s
215,Pa,91,14 ms
215,U,92,1.4 ms
216,Hg,80,100 ms
216,Tl,81,6 s
216,Pb,82,1.65 m
216,Bi,83,2.25 m
216,Po,84,145 ms
216,At,85,300 us
216,Rn,86,45 us
216,Fr,87,700 ns
216,Ra,88,182 ns
216,Ac,89,440 us
216,Th,90,26.0 ms
216,Pa,91,105 ms
216,U,92,6.9 ms
217,Tl,81,1 s
217,Pb,82,20 s
217,Bi,83,98.5 s
217,Po,84,1.514 s
217,At,85,32.62 ms
217,Rn,86,540 us
217,Fr,87,16.8 us
217,Ra,88,1.63 us
217,Ac,89,69 ns
217,Th,90,247 us
217,Pa,91,3.48 ms
217,U,92,800 us
218,Tl,81,200 ms
218,Pb,82,15 s
218,Bi,83,33 s
218,Po,84,3.098 m
218,At,85,1.5 s
218,Rn,86,33.75 ms
218,Fr,87,1.0 ms
218,Ra,88,25.2 us
218,Ac,89,1.00 us
218,Th,90,117 ns
218,Pa,91,113 us
218,U,92,550 us
219,Pb,82,10 s
219,Bi,83,8.7 s
219,Po,84,10.3 m
219,At,85,56 s
219,Rn,86,3.96 s
219,Fr,87,20 ms
219,Ra,88,10 ms
219,Ac,89,11.8 us
219,Th,90,1.021 us
219,Pa,91,53 ns
219,U,92,55 us
219,Np,93,<5 us
220,Pb,82,30 s
220,Bi,83,9.5 s
220,Po,84,40 s
220,At,85,3.71 m
220,Rn,86,55.6 s
220,Fr,87,27.4 s
220,Ra,88,17.9 ms
220,Ac,89,26.36 ms
220,Th,90,9.7 us
220,Pa,91,780 ns
220,U,92,60 ns
220,Np,93,30 ns
221,Bi,83,5 s
221,Po,84,2.2 m
221,At,85,2.3 m
221,Rn,86,25.7 m
221,Fr,87,4.801 m
221,Ra,88,28 s
221,Ac,89,52 ms
221,Th,90,1.78 ms
221,Pa,91,5.9 us
221,U,92,660 ns
221,Np,93,30 ns
222,Bi,83,2 s
222,Po,84,9.1 m
222,At,85,54 s
222,Rn,86,3.8215 d
222,Fr,87,14.2 m
222,Ra,88,33.6 s
222,Ac,89,5.0 s
222,Th,90,2.24 ms
222,Pa,91,3.2 ms
222,U,92,4.7 us
222,Np,93,700 ns
223,Bi,83,1 s
223,Po,84,1 m
223,At,85,50 s
223,Rn,86,24.3 m
223,Fr,87,22.00 m
223,Ra,88,11.4377 d
223,Ac,89,2.10 m
223,Th,90,600 ms
223,Pa,91,5.1 ms
223,U,92,21 us
223,Np,93,1 us
224,Bi,83,300 ms
224,Po,84,1 m
224,At,85,2.5 m
224,Rn,86,107 m
224,Fr,87,3.33 m
224,Ra,88,3.6319 d
224,Ac,89,2.78 h
224,Th,90,1.04 s
224,Pa,91,846 ms
224,U,92,396 us
224,Np,93,100 us
225,Po,84,20 s
225,At,85,2 m
225,Rn,86,4.66 m
225,Fr,87,3.95 m
225,Ra,88,14.9 d
225,Ac,89,9.920 d
225,Th,90,8.75 m
225,Pa,91,1.7 s
225,U,92,61 ms
225,Np,93,6 ms
226,Po,84,20 s
226,At,85,20 s
226,Rn,86,7.4 m
226,Fr,87,49 s
226,Ra,88,1.600 ky
226,Ac,89,29.37 h
226,Th,90,30.70 m
226,Pa,91,1.8 m
226,U,92,269 ms
226,Np,93,35 ms
227,Po,84,5 s
227,At,85,20 s
227,Rn,86,20.2 s
227,Fr,87,2.47 m
227,Ra,88,42.2 m
227,Ac,89,21.772 y
227,Th,90,18.697 d
227,Pa,91,38.3 m
227,U,92,1.1 m
227,Np,93,510 ms
227,Pu,94,20 ms
228,At,85,5 s
228,Rn,86,65 s
228,Fr,87,38 s
228,Ra,88,5.75 y
228,Ac,89,6.15 h
228,Th,90,1.9124 y
228,Pa,91,22 h
228,U,92,9.1 m
228,Np,93,61.4 s
228,Pu,94,2.1 s
229,At,85,5 s
229,Rn,86,11.9 s
229,Fr,87,50.2 s
229,Ra,88,4.0 m
229,Ac,89,62.7 m
229,Th,90,7.920 ky
229,Pa,91,1.50 d
229,U,92,57.8 m
229,Np,93,4.00 m
229,Pu,94,91 s
229,Am,95,1.8 s
230,Rn,86,10 s
230,Fr,87,19.1 s
230,Ra,88,93 m
230,Ac,89,122 s
230,Th,90,75.4 ky
230,Pa,91,17.4 d
230,U,92,20.23 d
230,Np,93,4.6 m
230,Pu,94,1.70 m
230,Am,95,40 s
231,Rn,86,300 ms
231,Fr,87,17.6 s
231,Ra,88,104 s
231,Ac,89,7.5 m
231,Th,90,25.52 h
231,Pa,91,32.76 ky
231,U,92,4.2 d
231,Np,93,48.8 m
231,Pu,94,8.6 m
231,Am,95,1 m
231,Cm,96,20 s
232,Fr,87,5.5 s
232,Ra,88,4.0 m
232,Ac,89,1.98 m
232,Th,90,14.0 Gy
232,Pa,91,1.32 d
232,U,92,68.9 y
232,Np,93,14.7 m
232,Pu,94,33.7 m
232,Am,95,1.31 m
232,Cm,96,10 s
233,Fr,87,900 ms
233,Ra,88,30 s
233,Ac,89,145 s
233,Th,90,21.83 m
233,Pa,91,26.975 d
233,U,92,159.2 ky
233,Np,93,36.2 m
233,Pu,94,20.9 m
233,Am,95,3.2 m
233,Cm,96,27 s
233,Bk,97,40 s
234,Ra,88,30 s
234,Ac,89,45 s
234,Th,90,24.10 d
234,Pa,91,6.70 h
234,U,92,245.5 ky
234,Np,93,4.4 d
234,Pu,94,8.8 h
234,Am,95,2.32 m
234,Cm,96,52 s
234,Bk,97,20 s
235,Ra,88,3 s
235,Ac,89,62 s
